DATA;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
23/07/2018 08:22:01;6,90;272,29;1255,08;0,01;2042,12;0,00;0,00;0,00;0,00;
23/07/2018 08:24:01;1,43;173,22;737,32;0,01;1605,12;0,00;0,00;0,00;0,00;
23/07/2018 08:26:01;35,22;144,00;876,44;0,00;1484,60;0,00;0,00;0,00;0,00;
23/07/2018 08:28:01;0,47;201,32;1162,27;0,01;1619,95;0,00;0,00;0,00;0,00;
23/07/2018 08:30:01;32,33;177,97;1043,27;0,00;1394,63;0,00;0,00;0,00;0,00;
23/07/2018 08:32:01;2,27;166,66;739,81;0,02;1229,43;0,00;0,00;0,00;0,00;
23/07/2018 08:34:01;0,00;161,69;637,55;0,00;904,45;0,00;0,00;0,00;0,00;
23/07/2018 08:36:01;33,79;178,72;794,23;0,01;1329,36;0,00;0,00;0,00;0,00;
23/07/2018 08:38:01;0,00;149,92;845,56;0,00;990,88;0,00;0,00;0,00;0,00;
23/07/2018 08:40:01;201,15;80,38;2356,89;0,31;1779,49;0,00;0,00;0,00;0,00;
23/07/2018 08:42:01;192,83;104,85;1037,26;0,12;1359,92;0,00;0,00;0,00;0,00;
23/07/2018 08:44:01;48,53;203,32;1460,88;0,05;2198,62;0,00;0,00;0,00;0,00;
23/07/2018 08:46:01;31,19;125,08;1060,91;0,01;1335,51;0,00;0,00;0,00;0,00;
23/07/2018 08:48:01;0,17;125,74;1317,92;0,00;1396,62;0,00;0,00;0,00;0,00;
23/07/2018 08:50:01;46,42;219,68;1083,96;0,00;1794,14;0,00;0,00;0,00;0,00;
23/07/2018 08:52:01;24,69;151,13;845,00;0,02;1016,36;0,00;0,00;0,00;0,00;
23/07/2018 08:54:01;4,50;164,24;958,35;0,00;1399,21;0,00;0,00;0,00;0,00;
23/07/2018 08:56:01;39,49;190,39;961,41;0,00;1524,64;0,00;0,00;0,00;0,00;
23/07/2018 08:58:01;0,03;209,75;976,22;0,00;1432,00;0,00;0,00;0,00;0,00;
23/07/2018 09:00:01;40,66;239,64;924,38;0,00;1325,33;0,00;0,00;0,00;0,00;
23/07/2018 09:02:01;0,00;149,93;837,20;0,00;1158,39;0,00;0,00;0,00;0,00;
23/07/2018 09:04:01;0,00;178,37;571,28;0,00;800,31;0,00;0,00;0,00;0,00;
23/07/2018 09:06:01;36,29;155,76;1052,82;0,00;1535,64;0,00;0,00;0,00;0,00;
23/07/2018 09:08:01;0,37;223,08;1116,50;0,00;1431,98;0,00;0,00;0,00;0,00;
23/07/2018 09:10:01;37,93;214,36;925,80;0,01;1166,10;0,00;0,00;0,00;0,00;
23/07/2018 09:12:01;0,00;236,44;806,71;0,00;1256,94;0,00;0,00;0,00;0,00;
23/07/2018 09:14:01;0,00;280,50;749,40;0,00;1015,39;0,00;0,00;0,00;0,00;
23/07/2018 09:16:01;41,59;66,78;873,53;0,00;1118,80;0,00;0,00;0,00;0,00;
23/07/2018 09:18:01;0,03;395,63;1196,30;0,00;2382,74;0,00;0,00;0,00;0,00;
23/07/2018 09:20:02;0,00;231,68;1450,85;0,00;1768,19;0,00;0,00;0,00;0,00;
23/07/2018 09:22:01;44,09;183,99;1254,83;0,00;1522,28;0,00;0,00;0,00;0,00;
23/07/2018 09:24:01;0,00;50,89;595,45;0,00;461,67;0,00;0,00;0,00;0,00;
