DATA;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
23/07/2018 08:22:01;4270992;5483264;3807772;47,13;207060;1742828;8336708;81,93;2076168;1422548;
23/07/2018 08:24:01;4443884;5669872;3634880;44,99;207332;1567640;8117424;79,77;2079552;1247212;
23/07/2018 08:26:01;4476140;5686160;3602624;44,59;211832;1524000;8113872;79,74;2089040;1203476;
23/07/2018 08:28:01;4468080;5691728;3610684;44,69;212288;1540544;8095348;79,55;2085100;1218416;
23/07/2018 08:30:01;4334660;5580452;3744104;46,35;216408;1628608;8206356;80,64;2129272;1306184;
23/07/2018 08:32:01;4387940;5614432;3690824;45,69;216668;1568192;8187672;80,46;2135680;1246200;
23/07/2018 08:34:01;4380968;5619840;3697796;45,77;216916;1580288;8167044;80,26;2131884;1257772;
23/07/2018 08:36:01;4427844;5656380;3650920;45,19;221128;1524608;8114012;79,74;2140084;1202628;
23/07/2018 08:38:01;4410572;5645620;3668192;45,41;221456;1530100;8140580;80,00;2150364;1207340;
23/07/2018 08:40:01;4089868;5355624;3988896;49,38;238324;1609544;8432708;82,87;2407148;1261088;
23/07/2018 08:42:01;4027844;5319148;4050920;50,14;260268;1633132;8524820;83,77;2444412;1278592;
23/07/2018 08:44:01;4056684;5355484;4022080;49,79;266088;1627808;8537120;83,90;2447884;1247160;
23/07/2018 08:46:01;4114652;5421932;3964112;49,07;270300;1605016;8410036;82,65;2427324;1208868;
23/07/2018 08:48:01;4070304;5379740;4008460;49,62;270728;1623792;8477720;83,31;2461536;1226816;
23/07/2018 08:50:01;4034300;5370620;4044464;50,06;275068;1638540;8455320;83,09;2481364;1242120;
23/07/2018 08:52:01;3981336;5329536;4097428;50,72;275368;1649688;8507188;83,60;2522036;1253192;
23/07/2018 08:54:01;3962752;5321948;4116012;50,95;275788;1669580;8543504;83,96;2521868;1272552;
23/07/2018 08:56:01;3975920;5356456;4102844;50,79;280828;1661056;8504728;83,58;2513100;1264512;
