DATA;CPU;user;nice;system;iowait;steal;idle
23/07/2018 08:22:01;all;23,91;0,00;6,86;1,98;0,00;67,26
23/07/2018 08:24:01;all;24,93;0,00;7,09;0,21;0,00;67,77
23/07/2018 08:26:01;all;23,49;0,00;6,66;0,33;0,00;69,52
23/07/2018 08:28:01;all;20,85;0,00;6,51;1,21;0,00;71,43
23/07/2018 08:30:01;all;25,73;0,00;6,89;0,51;0,00;66,87
23/07/2018 08:32:01;all;24,61;0,00;6,85;0,38;0,00;68,16
23/07/2018 08:34:01;all;24,42;0,00;6,78;0,15;0,00;68,66
23/07/2018 08:36:01;all;23,35;0,00;6,61;0,35;0,00;69,69
23/07/2018 08:38:01;all;23,32;0,00;6,36;1,55;0,00;68,78
23/07/2018 08:40:01;all;9,28;0,00;2,12;2,54;0,00;86,05
23/07/2018 08:42:01;all;6,75;0,00;2,22;3,64;0,00;87,40
23/07/2018 08:44:01;all;6,76;0,00;2,12;1,62;0,00;89,50
23/07/2018 08:46:01;all;6,11;0,01;2,11;1,56;0,00;90,22
23/07/2018 08:48:01;all;8,39;0,01;2,48;1,39;0,00;87,73
23/07/2018 08:50:01;all;25,27;0,00;7,27;0,69;0,00;66,77
23/07/2018 08:52:01;all;24,58;0,00;7,07;0,53;0,00;67,81
23/07/2018 08:54:01;all;16,48;0,00;5,15;0,81;0,00;77,57
23/07/2018 08:56:01;all;25,81;0,00;6,99;0,70;0,00;66,50
23/07/2018 08:58:01;all;21,76;0,00;6,01;2,37;0,00;69,86
23/07/2018 09:00:01;all;27,55;0,00;7,23;1,44;0,00;63,78
23/07/2018 09:02:01;all;26,76;0,00;7,29;2,23;0,00;63,72
23/07/2018 09:04:01;all;25,29;0,00;6,99;1,33;0,00;66,39
23/07/2018 09:06:01;all;12,69;0,00;3,65;2,83;0,00;80,83
23/07/2018 09:08:01;all;19,05;0,03;5,26;1,86;0,00;73,79
23/07/2018 09:10:01;all;26,30;0,00;7,20;0,96;0,00;65,53
23/07/2018 09:12:01;all;26,04;0,00;7,08;1,34;0,00;65,53
23/07/2018 09:14:01;all;22,96;0,00;6,61;1,94;0,00;68,50
23/07/2018 09:16:01;all;26,14;0,00;6,86;1,20;0,00;65,79
23/07/2018 09:18:01;all;30,27;0,03;8,51;1,64;0,00;59,55
23/07/2018 09:20:02;all;21,65;0,07;6,30;2,50;0,00;69,48
23/07/2018 09:22:01;all;8,27;0,03;2,73;2,22;0,00;86,74
23/07/2018 09:24:01;all;7,24;0,00;1,96;1,22;0,00;89,58
23/07/2018 09:26:01;all;6,82;0,01;2,01;0,98;0,00;90,19
23/07/2018 09:28:01;all;7,32;0,00;2,18;0,97;0,00;89,53
